"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 20 12:43:11 UTC 2025","Fri Jun 20 12:43:12 UTC 2025","1340","","techchamps.io.SigninE2ETest","","techchamps.io.SigninE2ETest","testSignupRedirectsToSignin","testSignupRedirectsToSignin()",""
"passed","Fri Jun 20 12:37:31 UTC 2025","Fri Jun 20 12:37:31 UTC 2025","3","","techchamps.io.AppTest","","techchamps.io.AppTest","testApp","testApp()",""
"passed","Fri Jun 20 12:37:31 UTC 2025","Fri Jun 20 12:37:31 UTC 2025","11","","techchamps.io.AuthControllerTest","","techchamps.io.AuthControllerTest","signupWithExistingEmailShouldFail","signupWithExistingEmailShouldFail()",""
"passed","Fri Jun 20 12:37:31 UTC 2025","Fri Jun 20 12:37:31 UTC 2025","89","","techchamps.io.AuthControllerTest","","techchamps.io.AuthControllerTest","signinWithWrongPasswordShouldFail","signinWithWrongPasswordShouldFail()",""
"passed","Fri Jun 20 12:43:10 UTC 2025","Fri Jun 20 12:43:10 UTC 2025","281","","techchamps.io.SigninE2ETest","","techchamps.io.SigninE2ETest","testSignupWithExistingEmailShowsError","testSignupWithExistingEmailShowsError()",""
"passed","Fri Jun 20 12:43:08 UTC 2025","Fri Jun 20 12:43:10 UTC 2025","1360","","techchamps.io.SigninE2ETest","","techchamps.io.SigninE2ETest","testAdminSignin","testAdminSignin()",""
"passed","Fri Jun 20 12:43:10 UTC 2025","Fri Jun 20 12:43:10 UTC 2025","295","","techchamps.io.SigninE2ETest","","techchamps.io.SigninE2ETest","testSignupWithExistingUsernameShowsError","testSignupWithExistingUsernameShowsError()",""
"passed","Fri Jun 20 12:37:31 UTC 2025","Fri Jun 20 12:37:31 UTC 2025","182","","techchamps.io.AuthControllerTest","","techchamps.io.AuthControllerTest","adminSigninShouldSucceed","adminSigninShouldSucceed()",""
"passed","Fri Jun 20 12:37:30 UTC 2025","Fri Jun 20 12:37:31 UTC 2025","668","","techchamps.io.AuthControllerTest","","techchamps.io.AuthControllerTest","signinWithNonExistentUsernameShouldFail","signinWithNonExistentUsernameShouldFail()",""
"passed","Fri Jun 20 12:43:10 UTC 2025","Fri Jun 20 12:43:11 UTC 2025","412","","techchamps.io.SigninE2ETest","","techchamps.io.SigninE2ETest","testSigninWithWrongPasswordShowsError","testSigninWithWrongPasswordShowsError()",""
"passed","Fri Jun 20 12:37:31 UTC 2025","Fri Jun 20 12:37:31 UTC 2025","9","","techchamps.io.AuthControllerTest","","techchamps.io.AuthControllerTest","signupWithExistingUsernameShouldFail","signupWithExistingUsernameShouldFail()",""
"passed","Fri Jun 20 12:37:31 UTC 2025","Fri Jun 20 12:37:31 UTC 2025","87","","techchamps.io.AuthControllerTest","","techchamps.io.AuthControllerTest","signupShouldSucceed","signupShouldSucceed()",""
